Asset,Method,RMSE,MAE,AIC,Rank
SP500,SES,116.89338387604087,97.82996658784813,28486.469333909445,1
SP500,Damped,132.61934448948264,112.65703125234822,28491.20764856213,2
SP500,Holt-Winters,138.0778557364317,117.03535243135008,28518.68688926178,3
SP500,Holt,141.17270938447675,120.48458294758439,28482.20885016488,4
VIX,Holt-Winters,4.912523123201542,3.936819129014995,4956.017580255676,1
VIX,SES,5.015166068283153,4.026248643623929,4932.2741898227205,2
VIX,Damped,5.01516641316079,4.026249073209566,4938.267490028701,3
VIX,Holt,5.036315711937141,4.046252326205063,4936.271085543821,4
BTC,Damped,2191.407353988062,1767.628830845965,58156.15139299023,1
BTC,SES,2876.6075602773485,2481.764235874925,58153.2085101308,2
BTC,Holt-Winters,3073.664217379008,2689.1048077413006,58182.96024064335,3
BTC,Holt,3074.119600952375,2685.8809129403376,58156.20122508902,4
GOLD,SES,17.97689233264622,13.946003228171662,4922.42529614403,1
GOLD,Damped,28.203273060159987,26.624371551011986,4897.065582749091,2
GOLD,Holt-Winters,28.45401713251985,26.90202821288118,4905.213810418688,3
GOLD,Holt,28.622607765979637,27.08572213042534,4885.324740579595,4
NASDAQ,SES,22.589355095349735,21.072264795338832,9824.098886461032,1
NASDAQ,Holt-Winters,24.772366705360497,23.13389818745708,9844.77737379256,2
NASDAQ,Damped,24.979559109533987,23.348825330299462,9827.344415139209,3
NASDAQ,Holt,24.981801234888888,23.348366605284323,9819.422794296403,4
TESLA,Damped,22.339208320627506,19.914485335272193,14010.869940544902,1
TESLA,SES,22.339209332071363,19.914486395701715,14004.870041701672,2
TESLA,Holt,24.18310204812593,21.625464981165464,14007.487937771857,3
TESLA,Holt-Winters,24.233911207759984,21.699539405769762,14029.496652732216,4
